profile,shop,item_url,shop_url,price,flag,item_id
松下（Panasonic）XQB85-TA8021 8.5公斤全自动波轮洗衣机 节水立体漂 桶洗净,松下洗衣机旗舰店,https://item.jd.com/3455236.html,//mall.jd.com/index-1000001741.html,1748.00,JD自营,3455236
小鸭 2.5公斤双缸半自动迷你洗衣机 婴儿宝宝小洗衣机 XPB25-2825S 粉红色,小鸭牌旗舰店,https://item.jd.com/10246072461.html,//xiaoyapai.jd.com,369.00,,10246072461
惠而浦(Whirlpool) WF710921L5W 第六感智能洁净洗护 16种洗衣模式 7.5KG节能静音滚筒洗衣机(极地灰),惠而浦冰洗旗舰店,https://item.jd.com/4213348.html,//whirlpool.jd.com,2299.00,JD自营,4213348
TCL XQG70-F12102THB 7公斤 变频防烫罩 滚筒洗衣机（芭蕾白）,TCL冰箱洗衣机旗舰店,https://item.jd.com/1927685.html,//mall.jd.com/index-1000000953.html,1699.00,JD自营,1927685
AUX/奥克斯 XQB62-A1658R6.2公斤波轮迷你洗衣机小全自动家用热烘干 透明黑,奥克斯电器旗舰店,https://item.jd.com/10592907467.html,//mall.jd.com/index-205138.html,999.00,,10592907467
小天鹅（LittleSwan）TB80-Mute160WD 8公斤变频全自动波轮洗衣机,小天鹅官方旗舰店,https://item.jd.com/11148757656.html,//littleswan.jd.com,1198.00,,11148757656
熊猫（PANDA）4.8公斤全自动洗衣机小迷你波轮家用儿童婴儿宝宝 XQB48-148粉红色【京东发货】,文理冰洗专营店,https://item.jd.com/11117531741.html,//mall.jd.com/index-196789.html,578.00,,11117531741
小天鹅（LittleSwan ）TG30-DSN1 3kg壁挂式迷你滚筒洗衣机全自动母婴儿 白色,云中专营店,https://item.jd.com/11180606968.html,//yunzhongjd.jd.com,2998.00,,11180606968
小天鹅(Little Swan)变频滚筒洗衣机洗烘一体 10公斤TD100-1422WDG 金色,沙园专卖店,https://item.jd.com/10662953818.html,//shayuanjd.jd.com,3998.00,,10662953818
喜力（XIL）XQB80-8098 全自动波轮洗衣机 家用大容量8公斤 带童锁 风干功能,喜力旗舰店,https://item.jd.com/10808813964.html,//xili6.jd.com,798.00,,10808813964
威力（WEILI） XPB82-8207S 8.2公斤 半自动双缸洗衣机 双电机双动力,威力官方旗舰店,https://item.jd.com/10962253374.html,//mall.jd.com/index-612759.html,499.00,,10962253374
三星（SAMSUNG）XQB85-C76G/SC 8.5公斤 大容量 3维立体瀑布水流 钻石型内筒 波轮式洗衣机 (银灰色),三星家电官方旗舰店,https://item.jd.com/4505800.html,//mall.jd.com/index-1000002367.html,1999.00,JD自营,4505800
威力（WEILI）XQB60-6099A 6公斤 全自动波轮洗衣机 13分钟快洗 单脱,威力凯琴专卖店,https://item.jd.com/11394667316.html,//mall.jd.com/index-642517.html,658.00,,11394667316
三洋（SANYO）DB85399BDA 8.5公斤变频波轮洗衣机全自动 DD变频 LED面板 电解水洗涤 智能投放（钛金灰）,三洋·帝度官方旗舰店,https://item.jd.com/2721421.html,//mall.jd.com/index-1000002025.html,4898.00,JD自营,2721421
金盾 XQB70-4155 7公斤商用投币洗衣机波轮脱水全自动洗衣机可配微信刷卡硬币兑换机 单投币+微信,聚力专营店,https://item.jd.com/11677737375.html,//mall.jd.com/index-594124.html,1599.00,,11677737375
海尔（Haier）EMB85BF5GU1 全自动波轮洗衣机变频直驱免清洗8.5公斤幂动力,海尔蜀葵专卖店,https://item.jd.com/11413137683.html,//haiershukui.jd.com,2799.00,,11413137683
摩鱼(moyu)小黄鸭迷你婴儿童洗衣机3公斤mini宝宝内衣小型全自动波轮洗脱一体 智能版-B.Duck,摩鱼旗舰店,https://item.jd.com/11879522054.html,//mall.jd.com/index-613872.html,,,11879522054
LG洗衣机WD-BH451D5H 9公斤全自动滚筒洗衣烘干 家用蒸汽洗冷凝烘干,LG华锐专卖店,https://item.jd.com/11090623348.html,//mall.jd.com/index-584721.html,6499.00,,11090623348
松下（panasonic）XQB85-Q8021 8.5公斤波轮洗衣机全自动家用,深广发专营店,https://item.jd.com/10797677567.html,//mall.jd.com/index-608753.html,1898.00,,10797677567
威力（WEILI）XQB80-8079A 8公斤 波轮全自动热烘干大容量洗衣机,威力专卖店,https://item.jd.com/10220749702.html,//mall.jd.com/index-72269.html,1448.00,,10220749702
樱花（SAKURA XPB60-2188S 6公斤半自动洗衣机 迷你小双桶洗衣机,蓝夫佳电器专营店,https://item.jd.com/10617035297.html,//mall.jd.com/index-39146.html,389.00,,10617035297
西门子（SIEMENS）WM12P2608W 变频滚筒 强柔动力变频滚筒洗衣机西门子洗衣机,汇通冰洗专营店,https://item.jd.com/11384836602.html,//mall.jd.com/index-185444.html,3269.00,,11384836602
松下（panasonic）罗密欧系列特价机 全自动家用滚筒洗衣机静音 薄款800转白色6公斤下排水M6021,松下互众专卖店,https://item.jd.com/10719190726.html,//panasonic-hz.jd.com,1798.00,,10719190726
西门子(SIEMENS) WMH6W6600W 9公斤 智能变频滚筒洗衣机 原装进口 1600转 静音 LED触摸键 自动添加 家居互联（白色）,西门子家电旗舰店,https://item.jd.com/3390418.html,//mall.jd.com/index-1000001421.html,,JD自营,3390418
小吉MINIJ Pro版智能迷你mini儿童宝宝婴儿洗衣机 全自动变频滚筒内衣洗衣机 甜心粉,小吉旗舰店,https://item.jd.com/10989091208.html,//minij.jd.com,2799.00,,10989091208
熊猫（PANDA） XQB45-4566 小型洗衣机全自动迷你洗衣机儿童宝宝 XQB45-4566白色【京东发货】,文理冰洗专营店,https://item.jd.com/11959527427.html,//mall.jd.com/index-196789.html,528.00,,11959527427
美的（Midea）滚筒洗衣机 智能变频全自动8公斤家用 MG80-eco131WDX,美的洗衣机旗舰店,https://item.jd.com/10425058766.html,//mideawasher.jd.com,1598.00,,10425058766
小天鹅（Little Swan）TB30-Q8 3公斤波轮洗衣机全自动小型儿童迷你 灰白色,博美专营店,https://item.jd.com/11065198213.html,//mall.jd.com/index-608829.html,1398.00,,11065198213
白领公社 迷你洗衣机 学生宿舍微型迷你半自动单桶婴儿儿童洗袜子尿布内衣裤小洗衣机 绿色,白领公社,https://item.jd.com/11443251534.html,//bailing360.jd.com,288.00,,11443251534
松下（Panasonic）XQG80-EA8122全自动滚筒洗衣机8公斤（银色）,松下汇丰专卖店,https://item.jd.com/10896030093.html,//mall.jd.com/index-584984.html,2880.00,,10896030093
三洋（SANYO）WT8455M0S 8公斤全自动波轮洗衣机 大容量洗涤 全模糊智能控制 24h预约（亮灰色）,三洋·帝度官方旗舰店,https://item.jd.com/2020780.html,//mall.jd.com/index-1000002025.html,998.00,JD自营,2020780
长虹红太阳 8公斤洗衣机全自动大容量波轮 洗衣机热烘干 玻璃盖板 玫瑰金XQB80-755C(H),长虹红太阳家家喜专卖店,https://item.jd.com/11703864912.html,//mall.jd.com/index-621214.html,1380.00,,11703864912
美的（Midea）全自动波轮洗衣机10公斤大容量 MB100-6000QCS,美的集团官方旗舰店,https://item.jd.com/10868318454.html,//mideajiadian.jd.com,2198.00,,10868318454
美的（Midea）滚筒洗衣机 全自动一级能效9公斤变频电机手机控制 MG90V130WDX,美的集团官方旗舰店,https://item.jd.com/11288703828.html,//mideajiadian.jd.com,1998.00,,11288703828
容声(Ronshen)XQG70-L1218 7公斤 静音滚筒全自动洗衣机 95℃高温煮洗 15分钟快洗,容声冰洗品牌旗舰店,https://item.jd.com/3767461.html,//mall.jd.com/index-1000002241.html,1499.00,JD自营,3767461
小天鹅(Little Swan) TP80-DS905 8公斤 半自动双缸洗衣机双桶,永益专营店,https://item.jd.com/11716230737.html,//mall.jd.com/index-651341.html,698.00,,11716230737
德姆勒（DEMULLER）XPB48-108S 4.8公斤 半自动双缸双桶洗衣机 【京东急速上门】,德姆勒官方旗舰店,https://item.jd.com/11792956712.html,//demule.jd.com,338.00,,11792956712
小天鹅(Littleswan) TG90-1410WDXS 9公斤滚筒洗衣机全自动变频智能,儒亨专营店,https://item.jd.com/10860512968.html,//mall.jd.com/index-614958.html,2198.00,,10860512968
小天鹅（Little Swan）TD100-1616WMIDG滚筒洗衣机烘干变频,明永歆专营店,https://item.jd.com/11264959534.html,//mall.jd.com/index-640378.html,7998.00,,11264959534
海尔(Haier)波轮洗衣机 7.5公斤大容量免清洗防缠绕双动力直驱变频全自动洗衣机 MS7518BZ51,海尔百诚专卖店,https://item.jd.com/11043506655.html,//haierbc.jd.com,3499.00,,11043506655
Haier/海尔 G120688HBDX14XU1  12公斤大容量水晶变频烘干滚筒洗衣机,海尔驰郑专卖店,https://item.jd.com/11094337567.html,//mall.jd.com/index-621516.html,9899.00,,11094337567
Haier/海尔 XPB180-1128S 18公斤超大容量半自动洗衣机,海尔驰郑专卖店,https://item.jd.com/11096396408.html,//mall.jd.com/index-621516.html,2299.00,,11096396408
长虹红太阳 XQB80-8098 8公斤波轮全自动洗衣机玫瑰金,蓝夫佳专营店,https://item.jd.com/10943108743.html,//mall.jd.com/index-597572.html,849.00,,10943108743
富士山(Fusan)XQB150-1150 波轮全自动洗衣机 大容量 宾馆 洗足浴 家用,富士山旗舰店,https://item.jd.com/10640265864.html,//mall.jd.com/index-599786.html,2680.00,,10640265864
美的（Midea）MG90-1433WDXG 9公斤洗衣机自动家用滚筒变频WIFI金色,云中专营店,https://item.jd.com/10573030544.html,//yunzhongjd.jd.com,2698.00,,10573030544
樱花（SAKURA）7.5公斤全自动波轮洗衣机 洗烘一体波轮全自动洗 XQB75-179R,蓝夫佳电器专营店,https://item.jd.com/11258381830.html,//mall.jd.com/index-39146.html,899.00,,11258381830
永生（eosin）4公斤迷你洗衣机小型儿童宝宝脱水双缸双桶半自动甩干桶 XPB40-1636S,永生旗舰店,https://item.jd.com/10573232819.html,//eosin.jd.com,329.00,,10573232819
美的(Midea) 10公斤MD100-1433WDXG滚筒全自动洗衣机 洗烘一体,博美专营店,https://item.jd.com/10899871619.html,//mall.jd.com/index-608829.html,3898.00,,10899871619
海尔（Haier）B75688Z21 家用全自动波轮洗衣机 自编程 7.5公斤,海尔隆阳专卖店,https://item.jd.com/10871372736.html,//haierly.jd.com,1399.00,,10871372736
长虹红太阳XQB40-G02C 4公斤波轮全自动迷你洗衣机 宝宝儿童小洗衣机 黑色,蓝夫佳专营店,https://item.jd.com/10828883567.html,//mall.jd.com/index-597572.html,568.00,,10828883567
海尔（Haier） EBM3365W 3.3公斤全自动迷你洗衣机强力家用,海尔隆阳专卖店,https://item.jd.com/11307164029.html,//haierly.jd.com,999.00,,11307164029
惠而浦(Whirlpool) WG-F90821BIK 9KG变频节能静音智能WIFI滚筒洗衣机 16种洗衣模式(惠金色),惠而浦冰洗旗舰店,https://item.jd.com/4015462.html,//whirlpool.jd.com,4399.00,JD自营,4015462
松下（Panasonic）XQB85-QA8021 8.5公斤波轮洗衣机TA8021实体款,松下洗衣机西南专卖店,https://item.jd.com/10948918998.html,//mall.jd.com/index-601388.html,1858.00,,10948918998
海尔（Haier） XQB80-Z12688关爱8公斤波轮家用大容量 全自动洗衣机,海尔隆阳专卖店,https://item.jd.com/11108424902.html,//haierly.jd.com,1449.00,,11108424902
容声(Ronshen)XQG80-N128YB 8公斤 变频滚筒洗衣机 智能APP控制 防褶皱 去异味,容声冰洗品牌旗舰店,https://item.jd.com/4231588.html,//mall.jd.com/index-1000002241.html,2299.00,JD自营,4231588
先科（SAST）XPB30-1208 半自动小型迷你洗衣机单筒波轮宝宝专用洗脱一体机,三湖专营店,https://item.jd.com/12034148337.html,//mall.jd.com/index-665356.html,189.00,,12034148337
美的(Midea) MP80-DS805 8公斤半自动双缸双桶双筒洗衣机,龙啸专营店,https://item.jd.com/10375088014.html,//mall.jd.com/index-203835.html,658.00,,10375088014
创维（Skyworth）F80HC 8公斤变频滚筒洗衣机 i-health控制系统 14种洗涤程序 LED触摸屏 高温筒自洁（白色）,创维冰洗官方旗舰店,https://item.jd.com/3575953.html,//mall.jd.com/index-1000007373.html,1799.00,JD自营,3575953
松下（Panasonic)XQG30-A3022 3公斤迷你儿童滚筒洗衣机婴儿洗衣机,松下互众专卖店,https://item.jd.com/10723245535.html,//panasonic-hz.jd.com,3298.00,,10723245535
小天鹅（LittleSwan）TB80-6288WDCLG 全自动变频波轮洗衣机大容量家用,小天鹅官方旗舰店,https://item.jd.com/10689583524.html,//littleswan.jd.com,2598.00,,10689583524
吉德（jide）XQB90-62DMC 9公斤变频 全自动波轮洗衣机 黑色,吉德旗舰店,https://item.jd.com/11341965084.html,//jdmall.jd.com,2099.00,,11341965084
美的（Midea）全自动波轮洗衣机 8公斤智能变频 MB80-6100WDQCG,美的集团官方旗舰店,https://item.jd.com/10670673156.html,//mideajiadian.jd.com,1998.00,,10670673156
LittleSwan/小天鹅 TD100-1422WDG 10公斤滚筒洗衣机洗烘干一体机,云中专营店,https://item.jd.com/11026589555.html,//yunzhongjd.jd.com,4298.00,,11026589555
小天鹅（Little Swan）TG70-1210WXS 7公斤滚筒洗衣机全自动带物联网 银色,沙园专卖店,https://item.jd.com/10386588468.html,//shayuanjd.jd.com,1798.00,,10386588468
三星（SAMSUNG）WW70J5230GS(XQG70-70J5230GS) 7KG 智能变频滚筒洗衣机  电机十年包修（银色）,三星家电官方旗舰店,https://item.jd.com/3760762.html,//mall.jd.com/index-1000002367.html,2799.00,JD自营,3760762
美的(Midea)MG90-1421WDXS 9公斤 变频智能滚筒洗衣机,泰锋专营店,https://item.jd.com/10417756239.html,//taifeng.jd.com,1998.00,,10417756239
Haier/海尔  iwash-1c   3kg 全自动家用小型婴儿儿童专用迷你洗衣机,海尔驰郑专卖店,https://item.jd.com/11136203275.html,//mall.jd.com/index-621516.html,1139.00,,11136203275
海尔（Haier)儿童洗衣机全自动迷你波轮3.3公斤 EBM3365W,海尔沙园专卖店,https://item.jd.com/11867511821.html,//shayuanhaier.jd.com,999.00,,11867511821
金盾 XQB70-4155 7公斤商用投币洗衣机波轮脱水全自动洗衣机可配微信刷卡硬币兑换机 双投币,聚力专营店,https://item.jd.com/11677737369.html,//mall.jd.com/index-594124.html,1399.00,,11677737369
美的（Midea）MG80-1431WDXG 8kgWIFI变频全自动滚筒洗衣机大容量家用 MG80-1431WDXG 8公斤变频滚筒,云中专营店,https://item.jd.com/11511344185.html,//yunzhongjd.jd.com,2498.00,,11511344185
富士山(Fusan)XQB78-7828H 7.8公斤玫瑰金波轮全自动 洗衣机 热烘干手搓,富士山旗舰店,https://item.jd.com/10742963251.html,//mall.jd.com/index-599786.html,1258.00,,10742963251
川崎(KWSK)8.5公斤 洗衣机 全自动 家用烘干洗衣 A8烘 XQB85-60156Z 香槟金(带烘干),文理冰洗专营店,https://item.jd.com/10264124444.html,//mall.jd.com/index-196789.html,1580.00,,10264124444
格兰仕（Galanz）XQG90-T512V 9公斤变频滚筒洗衣机 大容量,格兰仕冰洗自营旗舰店,https://item.jd.com/3877722.html,//mall.jd.com/index-1000000952.html,2299.00,JD自营,3877722
松下(panasonic) XQB85-QA8021 8.5公斤 全自动家用波轮洗衣机灰色,松下金松专卖店,https://item.jd.com/10453368357.html,//mall.jd.com/index-194340.html,1958.00,,10453368357
